Año_Transfer,Periodo_de_corte,Nit_Transfer,Name_Entidad,Codigo_Departamento,Departamento,Codigo_del_Impuesto,Concepto,Tipo_Sorteo,ValorTransferido,Mes
2020,1,890000474,Lotería del Quindio,20,Cesar,1,Impuesto a foráneas,Ordinario,840600,Enero
2020,1,860026634,Sorteo Extra de Colombia,63,Quindio,3,Impuesto a ganadores,ExtraOrdinario,9284702,Enero
2020,1,890399027,Lotería del Valle,97,Vaupés,1,Impuesto a foráneas,Ordinario,5100,Enero
2020,1,890980058,Lotería de Medellín,81,Arauca,1,Impuesto a foráneas,Ordinario,621450,Enero
2020,1,890801007,Lotería de Manizales,95,Guaviare,1,Impuesto a foráneas,Ordinario,63938,Enero
2020,1,800240153,Lotería del Risaralda,5,Antioquia,1,Impuesto a foráneas,Ordinario,6366600,Enero
2020,1,899999270,Lotería de Bogotá,70,Sucre,1,Impuesto a foráneas,Ordinario,9223500,Enero
2020,1,860026634,Sorteo Extra de Colombia,66,Risaralda,3,Impuesto a ganadores,ExtraOrdinario,19967100,Enero
2020,1,891500650,Lotería del Cauca,27,Chocó,1,Impuesto a foráneas,Ordinario,1120050,Enero
2020,1,890000474,Lotería del Quindio,66,Risaralda,1,Impuesto a foráneas,Ordinario,8642400,Enero
2020,1,800244699,Lotería del Huila,11,Bogotá D.C.,1,Impuesto a foráneas,Ordinario,7360000,Enero
2020,1,899999270,Lotería de Bogotá,27,Chocó,1,Impuesto a foráneas,Ordinario,2691750,Enero
2020,1,800240153,Lotería del Risaralda,41,Huila,1,Impuesto a foráneas,Ordinario,3337875,Enero
2020,1,800244699,Lotería del Huila,18,Caquetá,1,Impuesto a foráneas,Ordinario,1134900,Enero
2020,1,899999025,Lotería de la Cruz Roja,15,Boyacá,1,Impuesto a foráneas,Ordinario,5914875,Enero
2020,1,800123949,Lotería del Meta,91,Amazonas,1,Impuesto a foráneas,Ordinario,57600,Enero
2020,1,860037234,Lotería de Cundinamarca,52,Nariño,1,Impuesto a foráneas,Ordinario,2951400,Enero
2020,1,890980058,Lotería de Medellín,27,Chocó,1,Impuesto a foráneas,Ordinario,11336850,Enero
2020,1,899999270,Lotería de Bogotá,44,La Guajira,1,Impuesto a foráneas,Ordinario,3093750,Enero
2020,1,890980058,Lotería de Medellín,8,Atlántico,1,Impuesto a foráneas,Ordinario,35040150,Enero
2020,1,860037234,Lotería de Cundinamarca,17,Caldas,1,Impuesto a foráneas,Ordinario,2969100,Enero
2020,1,800240153,Lotería del Risaralda,54,Norte De Santander,1,Impuesto a foráneas,Ordinario,23850,Enero
2020,1,800123949,Lotería del Meta,47,Magdalena,1,Impuesto a foráneas,Ordinario,793125,Enero
2020,1,809008775,Lotería del Tolima,25,Cundinamarca,1,Impuesto a foráneas,Ordinario,5792000,Enero
2020,1,800240153,Lotería del Risaralda,52,Nariño,1,Impuesto a foráneas,Ordinario,1911375,Enero
2020,1,899999270,Lotería de Bogotá,11,Bogotá D.C.,9,Premios No Reclamados,Ordinario,97774000,Enero
2020,1,891500650,Lotería del Cauca,47,Magdalena,1,Impuesto a foráneas,Ordinario,1052775,Enero
2020,1,890399027,Lotería del Valle,86,Putumayo,1,Impuesto a foráneas,Ordinario,687600,Enero
2020,1,890000474,Lotería del Quindio,99,Vichada,1,Impuesto a foráneas,Ordinario,3000,Enero
2020,1,899999270,Lotería de Bogotá,52,Nariño,1,Impuesto a foráneas,Ordinario,4661625,Enero
2020,1,899999270,Lotería de Bogotá,63,Quindio,1,Impuesto a foráneas,Ordinario,2839500,Enero
2020,1,800244699,Lotería del Huila,70,Sucre,1,Impuesto a foráneas,Ordinario,298350,Enero
2020,1,891500650,Lotería del Cauca,23,Córdoba,1,Impuesto a foráneas,Ordinario,2076300,Enero
2020,1,890399027,Lotería del Valle,81,Arauca,1,Impuesto a foráneas,Ordinario,328200,Enero
2020,1,890980058,Lotería de Medellín,11,Bogotá D.C.,1,Impuesto a foráneas,Ordinario,50204000,Enero
